Date,Description,Deposits,Withdrawals,Balance
02-Jan-24,Commercial Rent - Airport Residential Office,0,2500.00,15500.00
05-Jan-24,Service Invoice - Accra Digital Solutions Ltd,28500.00,0,44000.00
06-Jan-24,Statutory Electricity Bill - ECG,0,480.00,43520.00
08-Jan-24,Staff Payroll - January 2024,0,12000.00,31520.00
10-Jan-24,Professional Services - Kofi Asante IT Consulting,0,4500.00,27020.00
12-Jan-24,Consultancy Retainer - Mensah Enterprises,18000.00,0,45020.00
14-Jan-24,Office Supplies - Koala Supermarket Accra,0,820.00,44200.00
15-Jan-24,Corporate Internet - MTN Business,0,350.00,43850.00
18-Jan-24,Transport and Fuel - Total Energies,0,950.00,42900.00
25-Jan-24,Project Milestone Payment - GBC Media Ghana,9500.00,0,52400.00
29-Jan-24,Water Bill - GWCL,0,180.00,52220.00
31-Jan-24,Mobile Money Service Charge - MTN MoMo,0,45.00,52175.00
01-Feb-24,Commercial Rent - Airport Residential Office,0,2500.00,49675.00
05-Feb-24,Statutory Electricity Bill - ECG,0,520.00,49155.00
07-Feb-24,Service Invoice - Vodafone Ghana SME Division,32000.00,0,81155.00
09-Feb-24,Staff Payroll - February 2024,0,12000.00,69155.00
12-Feb-24,Freelance Developer Payment - Emmanuel Boateng,0,5500.00,63655.00
14-Feb-24,Consultancy Fee - Acheampong Holdings Ghana,15500.00,0,79155.00
15-Feb-24,Corporate Internet - MTN Business,0,350.00,78805.00
20-Feb-24,Office Equipment Procurement - Shoprite Ghana,0,2100.00,76705.00
22-Feb-24,Technical Support Contract - Stanbic Bank Ghana,8000.00,0,84705.00
23-Feb-24,Transport and Fuel - Total Energies,0,880.00,83825.00
29-Feb-24,Water Bill - GWCL,0,180.00,83645.00
01-Mar-24,Commercial Rent - Airport Residential Office,0,2500.00,81145.00
04-Mar-24,Statutory Electricity Bill - ECG,0,610.00,80535.00
06-Mar-24,Service Invoice - CalBank Digital Services,29500.00,0,110035.00
08-Mar-24,Staff Payroll - March 2024,0,12000.00,98035.00
12-Mar-24,Contractor Payment - Data Analytics Ghana,0,6000.00,92035.00
14-Mar-24,Retainer Receipt - Wilmar Ghana Ltd,20000.00,0,112035.00
15-Mar-24,Corporate Internet - MTN Business,0,350.00,111685.00
19-Mar-24,Staff Training - GIMPA Executive Programme,0,3200.00,108485.00
