Date,Description,Deposits,Withdrawals,Balance
02-Jan-25,Commercial Rent - Airport Residential Office,0,2500.00,415385.00
05-Jan-25,Service Invoice - Accra Digital Solutions Ltd,31000.00,0,446385.00
06-Jan-25,Statutory Electricity Bill - ECG,0,510.00,445875.00
09-Jan-25,Staff Payroll - January 2025,0,13000.00,432875.00
11-Jan-25,Professional Services - Kofi Asante IT Consulting,0,5000.00,427875.00
14-Jan-25,Consultancy Retainer - Mensah Enterprises,19500.00,0,447375.00
16-Jan-25,Office Supplies - Koala Supermarket Accra,0,950.00,446425.00
17-Jan-25,Corporate Internet - MTN Business,0,380.00,446045.00
20-Jan-25,Transport and Fuel - Total Energies,0,1100.00,444945.00
27-Jan-25,Project Milestone Payment - GBC Media Ghana,11000.00,0,455945.00
30-Jan-25,Water Bill - GWCL,0,200.00,455745.00
31-Jan-25,Mobile Money Service Charge - MTN MoMo,0,50.00,455695.00
03-Feb-25,Commercial Rent - Airport Residential Office,0,2500.00,453195.00
05-Feb-25,Statutory Electricity Bill - ECG,0,540.00,452655.00
07-Feb-25,Service Invoice - Vodafone Ghana SME Division,34000.00,0,486655.00
10-Feb-25,Staff Payroll - February 2025,0,13000.00,473655.00
13-Feb-25,Freelance Developer Payment - Emmanuel Boateng,0,6000.00,467655.00
17-Feb-25,Consultancy Fee - Acheampong Holdings Ghana,17000.00,0,484655.00
18-Feb-25,Corporate Internet - MTN Business,0,380.00,484275.00
21-Feb-25,Office Equipment Procurement - Shoprite Ghana,0,2400.00,481875.00
24-Feb-25,Technical Support Contract - Stanbic Bank Ghana,9000.00,0,490875.00
25-Feb-25,Transport and Fuel - Total Energies,0,950.00,489925.00
28-Feb-25,Water Bill - GWCL,0,200.00,489725.00
03-Mar-25,Commercial Rent - Airport Residential Office,0,2500.00,487225.00
05-Mar-25,Statutory Electricity Bill - ECG,0,640.00,486585.00
07-Mar-25,Service Invoice - CalBank Digital Services,32000.00,0,518585.00
10-Mar-25,Staff Payroll - March 2025,0,13000.00,505585.00
13-Mar-25,Contractor Payment - Data Analytics Ghana,0,6500.00,499085.00
17-Mar-25,Retainer Receipt - Wilmar Ghana Ltd,22000.00,0,521085.00
18-Mar-25,Corporate Internet - MTN Business,0,380.00,520705.00
21-Mar-25,Staff Training - GIMPA Executive Programme,0,3500.00,517205.00
24-Mar-25,Transport and Fuel - Total Energies,0,1200.00,516005.00
27-Mar-25,Consultancy Fee - GRA Business Advisory,8500.00,0,524505.00
28-Mar-25,Water Bill - GWCL,0,200.00,524305.00
31-Mar-25,Marketing Materials - Graphic Design Ghana,0,2000.00,522305.00
01-Apr-25,Commercial Rent - Airport Residential Office,0,2500.00,519805.00
04-Apr-25,Service Invoice - Ecobank Ghana Corporate,38000.00,0,557805.00
05-Apr-25,Statutory Electricity Bill - ECG,0,560.00,557245.00
09-Apr-25,Staff Payroll - April 2025,0,13000.00,544245.00
11-Apr-25,Freelance Content Writer - Abena Mensah,0,3200.00,541045.00
15-Apr-25,Corporate Internet - MTN Business,0,380.00,540665.00
17-Apr-25,Project Completion - Accra Metropolitan Assembly,20000.00,0,560665.00
18-Apr-25,Vehicle Maintenance - AutoMart Ghana,0,3800.00,556865.00
22-Apr-25,Professional Membership - ICAG Annual Dues,0,900.00,555965.00
24-Apr-25,Consultancy Retainer - Consolidated Bank Ghana,14000.00,0,569965.00
28-Apr-25,Water Bill - GWCL,0,200.00,569765.00
30-Apr-25,End of Quarter Staff Bonus,0,4500.00,565265.00
02-May-25,Commercial Rent - Airport Residential Office,0,2500.00,562765.00
05-May-25,Service Invoice - Ghana Ports and Harbours Authority,25000.00,0,587765.00
07-May-25,Statutory Electricity Bill - ECG,0,510.00,587255.00
09-May-25,Staff Payroll - May 2025,0,13000.00,574255.00
14-May-25,Contractor Payment - Kwame Web Solutions,0,4800.00,569455.00
16-May-25,Consultancy Fee - Kasapreko Company Ltd,18000.00,0,587455.00
19-May-25,Corporate Internet - MTN Business,0,380.00,587075.00
22-May-25,Office Supplies - Koala Supermarket Accra,0,720.00,586355.00
24-May-25,Transport and Fuel - Total Energies,0,1050.00,585305.00
27-May-25,Technical Support Contract - Fidelity Bank Ghana,10000.00,0,595305.00
30-May-25,Water Bill - GWCL,0,200.00,595105.00
02-Jun-25,Commercial Rent - Airport Residential Office,0,2500.00,592605.00
05-Jun-25,Service Invoice - SIC Insurance Ghana,31000.00,0,623605.00
07-Jun-25,Statutory Electricity Bill - ECG,0,590.00,623015.00
11-Jun-25,Staff Payroll - June 2025,0,13000.00,610015.00
13-Jun-25,Retainer Receipt - MTN Ghana Corporate Division,22000.00,0,632015.00
16-Jun-25,Legal Retainer - Bentsi Enchill and Letsa,0,5500.00,626515.00
18-Jun-25,Corporate Internet - MTN Business,0,380.00,626135.00
21-Jun-25,Staff Welfare - Shoprite Ghana,0,1400.00,624735.00
25-Jun-25,Water Bill - GWCL,0,200.00,624535.00
27-Jun-25,Project Fee - Ghana Education Service,12500.00,0,637035.00
30-Jun-25,Software Subscription - Sage Accounting Annual,0,2000.00,635035.00
02-Jul-25,Commercial Rent - Airport Residential Office,0,2500.00,632535.00
04-Jul-25,Service Invoice - AngloGold Ashanti Ghana,46000.00,0,678535.00
05-Jul-25,Statutory Electricity Bill - ECG,0,650.00,677885.00
09-Jul-25,Staff Payroll - July 2025,0,13000.00,664885.00
14-Jul-25,Consultancy Fee - Enterprise Group Ghana,17000.00,0,681885.00
15-Jul-25,Contractor Payment - UX Designer Accra,0,6000.00,675885.00
18-Jul-25,Corporate Internet - MTN Business,0,380.00,675505.00
21-Jul-25,Training Workshop - GIPC Ghana,0,2800.00,672705.00
24-Jul-25,Technical Contract - Agricultural Development Bank,9500.00,0,682205.00
25-Jul-25,Transport and Fuel - Total Energies,0,1150.00,681055.00
31-Jul-25,Water Bill - GWCL,0,200.00,680855.00
01-Aug-25,Commercial Rent - Airport Residential Office,0,2500.00,678355.00
04-Aug-25,Service Invoice - Vodafone Business Ghana,34000.00,0,712355.00
06-Aug-25,Statutory Electricity Bill - ECG,0,570.00,711785.00
09-Aug-25,Staff Payroll - August 2025,0,13000.00,698785.00
13-Aug-25,Freelance Research - Data Analyst Contractor,0,4200.00,694585.00
15-Aug-25,Retainer - National Investment Bank Ghana,19500.00,0,714085.00
18-Aug-25,Corporate Internet - MTN Business,0,380.00,713705.00
21-Aug-25,Annual Website Renewal - DomainKing Ghana,0,1400.00,712305.00
25-Aug-25,Transport and Fuel - Total Energies,0,980.00,711325.00
27-Aug-25,Consultancy Revenue - KPMG Ghana Sub Advisory,8000.00,0,719325.00
29-Aug-25,Water Bill - GWCL,0,200.00,719125.00
01-Sep-25,Commercial Rent - Airport Residential Office,0,2500.00,716625.00
04-Sep-25,Service Invoice - Absa Bank Ghana,40000.00,0,756625.00
06-Sep-25,Statutory Electricity Bill - ECG,0,600.00,756025.00
10-Sep-25,Staff Payroll - September 2025,0,13000.00,743025.00
13-Sep-25,Contractor Payment - Digital Marketing Agency,0,6500.00,736525.00
17-Sep-25,Project Milestone - Ministry of Finance ICT Division,25000.00,0,761525.00
19-Sep-25,Corporate Internet - MTN Business,0,380.00,761145.00
23-Sep-25,Office Renovation - Interior Solutions Ltd,0,9000.00,752145.00
26-Sep-25,Consultancy Fee - Databank Brokerage Ltd,10500.00,0,762645.00
29-Sep-25,Water Bill - GWCL,0,200.00,762445.00
30-Sep-25,End of Quarter Staff Bonus,0,4500.00,757945.00
01-Oct-25,Commercial Rent - Airport Residential Office,0,2500.00,755445.00
04-Oct-25,Service Invoice - Ghana Revenue Authority Technology,32000.00,0,787445.00
06-Oct-25,Statutory Electricity Bill - ECG,0,530.00,786915.00
10-Oct-25,Staff Payroll - October 2025,0,13000.00,773915.00
14-Oct-25,Retainer Receipt - Tullow Oil Services Ghana,24000.00,0,797915.00
17-Oct-25,Contractor Payment - Cybersecurity Specialist,0,5500.00,792415.00
20-Oct-25,Corporate Internet - MTN Business,0,380.00,792035.00
23-Oct-25,Professional Development - PMI Ghana Chapter,0,2500.00,789535.00
27-Oct-25,Technical Advisory - GCB Bank Ghana,9000.00,0,798535.00
28-Oct-25,Transport and Fuel - Total Energies,0,1080.00,797455.00
31-Oct-25,Water Bill - GWCL,0,200.00,797255.00
03-Nov-25,Commercial Rent - Airport Residential Office,0,2500.00,794755.00
06-Nov-25,Service Invoice - Cocobod ICT Services,36000.00,0,830755.00
08-Nov-25,Statutory Electricity Bill - ECG,0,510.00,830245.00
12-Nov-25,Staff Payroll - November 2025,0,13000.00,817245.00
15-Nov-25,Freelance Graphic Designer - Kwesi Creative,0,2800.00,814445.00
18-Nov-25,Consultancy Fee - Sanlam Life Ghana,16000.00,0,830445.00
20-Nov-25,Corporate Internet - MTN Business,0,380.00,830065.00
24-Nov-25,Year End Planning Travel - Domestic,0,3800.00,826265.00
27-Nov-25,Project Fee - Accra City Hotel Digital Systems,8500.00,0,834765.00
28-Nov-25,Water Bill - GWCL,0,200.00,834565.00
30-Nov-25,Software License Renewal - Microsoft 365 Business,0,2600.00,831965.00
02-Dec-25,Commercial Rent - Airport Residential Office,0,2500.00,829465.00
05-Dec-25,Service Invoice - Access Bank Ghana Corporate,42000.00,0,871465.00
07-Dec-25,Statutory Electricity Bill - ECG,0,580.00,870885.00
11-Dec-25,Staff Payroll - December 2025,0,13000.00,857885.00
15-Dec-25,Year End Retainer - Aluworks Limited Ghana,18000.00,0,875885.00
16-Dec-25,Christmas Staff Bonus - Annual,0,9000.00,866885.00
18-Dec-25,Corporate Internet - MTN Business,0,380.00,866505.00
20-Dec-25,Year End Team Celebration - Golden Tulip Hotel,0,4000.00,862505.00
22-Dec-25,Consultancy Fee - Year End Settlement Datalink,12000.00,0,874505.00
27-Dec-25,Water Bill - GWCL,0,200.00,874305.00
29-Dec-25,Office Equipment - HP Laptop Procurement,0,5500.00,868805.00
31-Dec-25,Transport and Fuel - Year End Total Energies,0,850.00,867955.00
02-Jan-26,Commercial Rent - Airport Residential Office,0,2500.00,865455.00
05-Jan-26,Service Invoice - Accra Digital Solutions Ltd,38000.00,0,903455.00
06-Jan-26,Statutory Electricity Bill - ECG,0,570.00,902885.00
09-Jan-26,Staff Payroll - January 2026,0,13500.00,889385.00
12-Jan-26,Professional Services - Kofi Asante IT Consulting,0,5500.00,883885.00
15-Jan-26,Consultancy Retainer - Mensah Enterprises,23000.00,0,906885.00
17-Jan-26,Office Supplies - Koala Supermarket Accra,0,1050.00,905835.00
20-Jan-26,Corporate Internet - MTN Business,0,420.00,905415.00
22-Jan-26,Transport and Fuel - Total Energies,0,1200.00,904215.00
28-Jan-26,Project Milestone Payment - GBC Media Ghana,13500.00,0,917715.00
30-Jan-26,Water Bill - GWCL,0,220.00,917495.00
31-Jan-26,Mobile Money Service Charge - MTN MoMo,0,55.00,917440.00
02-Feb-26,Commercial Rent - Airport Residential Office,0,2500.00,914940.00
05-Feb-26,Statutory Electricity Bill - ECG,0,600.00,914340.00
07-Feb-26,Service Invoice - Vodafone Ghana SME Division,40000.00,0,954340.00
10-Feb-26,Staff Payroll - February 2026,0,13500.00,940840.00
13-Feb-26,Freelance Developer Payment - Emmanuel Boateng,0,6500.00,934340.00
17-Feb-26,Consultancy Fee - Acheampong Holdings Ghana,20000.00,0,954340.00
19-Feb-26,Corporate Internet - MTN Business,0,420.00,953920.00
21-Feb-26,Office Equipment Procurement - Shoprite Ghana,0,2800.00,951120.00
24-Feb-26,Technical Support Contract - Stanbic Bank Ghana,11000.00,0,962120.00
26-Feb-26,Transport and Fuel - Total Energies,0,1050.00,961070.00
28-Feb-26,Water Bill - GWCL,0,220.00,960850.00
02-Mar-26,Commercial Rent - Airport Residential Office,0,2500.00,958350.00
05-Mar-26,Statutory Electricity Bill - ECG,0,690.00,957660.00
06-Mar-26,Service Invoice - CalBank Digital Services,37000.00,0,994660.00
10-Mar-26,Staff Payroll - March 2026,0,13500.00,981160.00
13-Mar-26,Contractor Payment - Data Analytics Ghana,0,7000.00,974160.00
